From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2012-09-25,,,5.545833333333333,17.057916666666667,10.729166666666666,,0.5495833333333333,0.9633333333333334,,,,,,,32.026666666666664,66.32666666666667,0.60125,248.76136363636363,131.42958333333334,1001.33875,0.4475
2012-09-26,,,16.060416666666665,23.153333333333332,21.595416666666665,,1.0095833333333333,1.0179166666666666,,,,,,,30.5625,78.24208333333333,0.5912499999999999,269.90958333333333,143.95125,1002.9625,0.4454166666666666
2012-09-27,,,8.68,20.899583333333332,15.017083333333334,,0.59,0.9633333333333334,,,,,,,30.052083333333332,77.78333333333333,0.57375,255.33708333333334,96.46375,1003.3895833333332,0.44458333333333333
2012-09-28,,,7.5825,21.19666666666667,14.327083333333334,,0.29,0.8225,,,,,,,30.38291666666667,72.49666666666667,0.6029166666666667,273.2129166666667,96.34375,1002.3729166666667,0.4483333333333333
2012-09-29,,,6.353333333333333,15.74375,10.77875,,0.4375,0.9199999999999999,,,,,,,28.601249999999997,87.77916666666665,0.5825,271.53363636363633,58.51208333333333,1001.4416666666666,0.44458333333333333
2012-09-30,,,6.734583333333333,15.472083333333332,10.860416666666666,,0.43583333333333335,0.9454166666666667,,,,,,,29.779583333333335,83.43541666666667,0.5845833333333333,288.0226086956522,89.45875000000001,1000.7275,0.445
2012-10-01,,,6.008333333333333,18.209166666666665,11.669583333333334,,0.2109090909090909,0.8254166666666666,,,,,,,30.269166666666667,81.05333333333333,0.6420833333333333,275.2708333333333,128.17541666666668,1000.8583333333332,0.4529166666666667
2012-10-02,,,5.467083333333334,10.965833333333334,7.769166666666667,,0.3508695652173913,0.9691666666666667,,,,,,,31.45958333333333,78.35958333333333,0.7066666666666667,248.13708333333332,173.88250000000002,1001.9270833333334,0.46416666666666667
2012-10-03,,,5.959583333333334,15.075833333333334,10.08875,,0.3429166666666667,0.8845833333333334,,,,,,,31.30666666666667,74.80708333333332,0.68,252.65166666666667,189.34958333333336,1002.2808333333334,0.45875
2012-10-04,,,7.155833333333334,20.180416666666666,13.505,,0.3408333333333333,1.195,,,,,,,31.831666666666667,67.77541666666666,0.6829166666666667,268.28208333333333,205.31041666666667,1001.9512500000001,0.46
2012-10-05,,,6.274166666666667,15.492083333333333,10.446666666666667,,0.4295652173913044,1.1013043478260869,,,,,,,31.27125,72.49875,0.6670833333333334,250.46291666666664,175.66625,1002.8454166666667,0.4575
2012-10-06,,,6.245416666666666,14.744583333333333,10.107083333333334,,0.2525,1.9091304347826086,,,,,,,31.16333333333333,72.97083333333333,0.6595833333333333,264.55375,178.76833333333332,1003.96625,0.4558333333333333
2012-10-07,,,5.1137500000000005,14.252916666666666,9.0025,,0.44708333333333333,1.1065217391304347,,,,,,,29.815833333333334,75.32916666666667,0.5908333333333333,251.73434782608697,171.4779166666667,1004.08625,0.4454166666666666
2012-10-08,,,4.382916666666667,12.814583333333333,7.692916666666666,,0.22695652173913042,1.11,,,,,,,30.557083333333335,73.42916666666666,0.5812499999999999,226.16708333333335,168.51208333333332,1002.6270833333333,0.445
2012-10-09,,,4.960416666666666,13.719166666666666,8.65125,,0.3647826086956522,1.0079166666666668,,,,,,,31.047083333333333,66.04333333333334,0.5995833333333334,263.1282608695652,159.36125,1001.5949999999999,0.4475
2012-10-10,,,5.305833333333333,14.4475,9.275,,0.551304347826087,1.163181818181818,,,,,,,30.823333333333334,69.67999999999999,0.6358333333333334,264.315,190.42708333333334,1001.4549999999999,0.45208333333333334
